h=1; v /net1; envlp im(V) X,h=1; v /net1; envlp im(V) Y
0,0.1458443177151055
1.25e-08,0.2870416510686766
2.5e-08,0.3345878197877549
3.75e-08,0.2316093081401508
5e-08,0.01468312204013179
6.25e-08,-0.2196482759632589
7.5e-08,-0.4022435397246705
8.75e-08,-0.4957580005427626
1e-07,-0.4928162983446662
1.125e-07,-0.4133315457267277
1.25e-07,-0.293797251351182
1.375e-07,-0.1730022785753121
1.5e-07,-0.0793978824856293
1.625e-07,-0.02427065532027447
1.75e-07,-0.002419694554087116
1.875e-07,0.0008635733573990091
2e-07,4.052960365647597e-17
2.125e-07,0.0008635733573989557
2.25e-07,-0.002419694554087094
2.375e-07,-0.02427065532027447
2.5e-07,-0.07939788248562936
2.625e-07,-0.1730022785753122
2.75e-07,-0.2937972513511822
2.875e-07,-0.4133315457267277
3e-07,-0.4928162983446662
3.125e-07,-0.4957580005427626
3.25e-07,-0.4022435397246706
3.375000000000001e-07,-0.2196482759632589
3.5e-07,0.01468312204013179
3.625e-07,0.2407731921112811
3.75e-07,0.3919940140536437
3.875e-07,0.4151950393702048
4e-07,0.2886851038118001
4.125e-07,0.0320150598422823
4.25e-07,-0.2962021296944036
4.375e-07,-0.6125283017281791
4.5e-07,-0.8312079001715965
4.625e-07,-0.8883476386040884
4.75e-07,-0.7603893796450417
4.875e-07,-0.4710715574783
5e-07,-0.0845539092789338
5.125e-07,0.3133200687373182
5.249999999999999e-07,0.6399053925894296
5.374999999999999e-07,0.839098167545172
5.5e-07,0.8959226606170941
5.625e-07,0.8379257905346602
5.75e-07,0.7231525883263116
5.875e-07,0.6187673624405865
6e-07,0.5773702076236003
6.125e-07,0.6187673624405861
6.249999999999999e-07,0.7231525883263118
6.374999999999999e-07,0.8379257905346602
6.499999999999999e-07,0.8959226606170944
6.625e-07,0.8390981675451719
6.75e-07,0.6399053925894296
6.875e-07,0.313320068737318
7e-07,-0.0845539092789338
7.125e-07,-0.4710715574783
7.249999999999999e-07,-0.7603893796450419
